"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Scena/Teams_logos/Barcelona/Blue.Blue","49","14","14","1","16.366777","0","20"
"/Game/Scena/Metalic.Metalic","49","14","14","1","16.184153","0","20"
"/Game/Scena/Material_004.Material_004","49","14","14","1","16.610767","0","20"
"/Game/Scena/lamp.lamp","49","14","14","1","16.460840","0","20"
"/Game/Scena/dynamic_leds.dynamic_leds","49","14","14","1","16.761648","0","22"
"/Game/Scena/body.body","49","14","14","1","16.422129","0","20"
"/Game/Materials/M_Chart.M_Chart","49","14","14","1","16.585028","0","20"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Shaders/AO.AO","49","9","9","1","9.272037","0","10"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/To_scRGB.To_scRGB","49","4","4","1","3.698999","0","4"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Alpha.Alpha","49","4","4","1","3.680029","0","4"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Empty_Tonemapper.Empty_Tonemapper","49","4","4","1","3.516510","0","4"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","50","5","1","80.919823","0","169"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","50","5","1","88.402390","0","173"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","28","28","1","33.629112","0","38"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","50","16","1","82.684967","0","166"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","5","5","1","5.437469","0","8"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","44","46","2","47.095047","0","56"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","7","7","1","7.039935","0","12"
"/ControlRig/M_Manip.M_Manip","49","7","7","1","6.112119","0","9"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","4","4","1","3.754252","0","6"
